0,1,2,3
0.3186066165867788,0.7477466949326806,0.31659328271544807,0.0806343227293328
0.8555091971138129,0.7671177185754046,0.7546793971057391,0.24378522086285437
0.539415937689945,0.013566594822441824,0.39893509425234974,0.9751667104309708
0.14535464100539375,0.15829148736671328,0.6248096575890045,0.45082333123663143
0.8308329522851022,0.8892941444246041,0.18483093186174826,0.938859339367167
0.6119348296389938,0.15163460755614333,0.05978347836487674,0.24325427664932375
0.4901360798847173,0.5577341222408061,0.8092421180787918,0.7993486024282137
0.12143356620074819,0.687986083369564,0.885150736916374,0.3751396621272042
0.1961715419737452,0.829950975791333,0.9369400300946131,0.8394883497808553
0.1630703384721034,0.5286917522701963,0.15165773170424257,0.7620295118777209
