0,1,2
0.8520249079915202,0.7063433527329089,0.9809605223838144
0.4924948252209901,0.7882598359204774,0.006961700204834997
0.3118678937978636,0.4341003119028458,0.7056436155738322
0.30902859955525397,0.004140065675139137,0.5998593487692943
0.1794815894929893,0.5957517458746893,0.7217579949312475
0.8182522662285114,0.8975747224794134,0.07823138098750881
0.2740599440903493,0.9133506455527544,0.48671428622388535
0.9481532793786881,0.3079988134834504,0.35829365596232676
0.9127213143201566,0.556947060696797,0.8589055103641734
0.8103782279976971,0.7252019326128089,0.7946073064338665
